date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
02:49:43	329892/329892	---MCZ	200	added ('OK')	text/html	date:Fri,%2028%20Apr%202023%2001:49:42%20GMT	https://www.netflix.com/ng/login	C:/My%20Web%20Sites/netflix/www.netflix.com/ng/login.html	(from )
02:49:43	1073/1073	---MCZ	200	added ('OK')	text/plain	date:Fri,%2028%20Apr%202023%2001:49:43%20GMT	https://www.netflix.com/robots.txt		(from )
02:49:45	1354930/1354930	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2027%20Apr%202023%2016:18:51%20GMT	https://assets.nflxext.com/web/ffe/wp/components/login/loginControllerClient.js.dcee428c51b27983aaf4.js	C:/My%20Web%20Sites/netflix/assets.nflxext.com/web/ffe/wp/components/login/loginControllerClient.js.dcee428c51b27983aaf4.js	(from https://www.netflix.com/ng/login)
02:49:45	0/0	---MC-	302	error ('Found')	text/html	date:Fri,%2028%20Apr%202023%2001:49:45%20GMT	https://www.netflix.com/ng/GET	C:/My%20Web%20Sites/netflix/www.netflix.com/ng/GET.2.delayed	(from https://www.netflix.com/ng/login)
02:49:45	0/-1	---M--	302	error ('')			https://www.netflix.com/ng/GET	C:/My%20Web%20Sites/netflix/www.netflix.com/ng/GET.3.delayed	(from https://www.netflix.com/ng/login)
02:49:46	21390/21390	---M-Z	200	added ('OK')	application/javascript	etag:0x8DB46750CFE1463	https://cdn.cookielaw.org/scripttemplates/otSDKStub.js	C:/My%20Web%20Sites/netflix/cdn.cookielaw.org/scripttemplates/otSDKStub.js	(from https://www.netflix.com/ng/login)
02:49:46	9816/9816	---M-Z	200	added ('OK')	text/css	date:Wed,%2025%20Jan%202023%2019:05:46%20GMT	https://assets.nflxext.com/web/ffe/wp/less/core/error-page.b122c37502204303115a.css	C:/My%20Web%20Sites/netflix/assets.nflxext.com/web/ffe/wp/less/core/error-page.b122c37502204303115a.css	(from https://www.netflix.com/ng/login)
02:49:47	44671/44671	---M-Z	200	added ('OK')	text/css	date:Fri,%2017%20Mar%202023%2012:20:07%20GMT	https://assets.nflxext.com/web/ffe/wp/less/login/loginBase.b1adf06b6a2a1720f790.css	C:/My%20Web%20Sites/netflix/assets.nflxext.com/web/ffe/wp/less/login/loginBase.b1adf06b6a2a1720f790.css	(from https://www.netflix.com/ng/login)
02:49:47	90404/90404	---M-Z	200	added ('OK')	text/css	date:Tue,%2011%20Apr%202023%2012:19:59%20GMT	https://assets.nflxext.com/web/ffe/wp/less/pages/login/Login.10b0d4338e625d30279d.css	C:/My%20Web%20Sites/netflix/assets.nflxext.com/web/ffe/wp/less/pages/login/Login.10b0d4338e625d30279d.css	(from https://www.netflix.com/ng/login)
02:49:48	1755/1755	---M--	200	added ('OK')	image/png	date:Tue,%2021%20Jun%202016%2022:29:33%20GMT	https://assets.nflxext.com/us/ffe/siteui/common/icons/nficon2016.png	C:/My%20Web%20Sites/netflix/assets.nflxext.com/us/ffe/siteui/common/icons/nficon2016.png	(from https://www.netflix.com/ng/login)
02:49:49	115604/115604	---M--	200	added ('OK')	image/jpeg	date:Wed,%2019%20Apr%202023%2013:47:28%20GMT	https://assets.nflxext.com/ffe/siteui/vlv3/efb4855d-e702-43e5-9997-bba0154152e0/5e2801e9-d76f-4e77-a8ea-7dba0d187459/NG-en-20230417-popsignuptwoweeks-perspective_alpha_website_small.jpg	C:/My%20Web%20Sites/netflix/assets.nflxext.com/ffe/siteui/vlv3/efb4855d-e702-43e5-9997-bba0154152e0/5e2801e9-d76f-4e77-a8ea-7dba0d187459/NG-en-20230417-popsignuptwoweeks-perspective_alpha_website_small.jpg	(from https://www.netflix.com/ng/login)
